Files already downloaded and verified
Files already downloaded and verified
Epoch [1], g:1.37e+00, h:3.94e+02, r:0.00e+00, acc:3.37e-01
Epoch [2], g:1.16e+00, h:3.15e+02, r:0.00e+00, acc:4.45e-01
Epoch [3], g:9.70e-01, h:2.58e+02, r:0.00e+00, acc:5.87e-01
Epoch [4], g:7.88e-01, h:2.05e+02, r:0.00e+00, acc:6.55e-01
Epoch [5], g:6.43e-01, h:1.66e+02, r:0.00e+00, acc:7.14e-01
Epoch [6], g:5.43e-01, h:1.39e+02, r:0.00e+00, acc:7.61e-01
Epoch [7], g:4.53e-01, h:1.15e+02, r:0.00e+00, acc:7.85e-01
Epoch [8], g:3.74e-01, h:9.63e+01, r:0.00e+00, acc:8.10e-01
Epoch [9], g:3.10e-01, h:8.02e+01, r:0.00e+00, acc:8.24e-01
Epoch [10], g:2.56e-01, h:6.73e+01, r:0.00e+00, acc:8.24e-01
Epoch [11], g:1.98e-01, h:5.34e+01, r:0.00e+00, acc:8.10e-01
Epoch [12], g:1.50e-01, h:4.18e+01, r:0.00e+00, acc:8.29e-01
Epoch [13], g:1.14e-01, h:3.24e+01, r:0.00e+00, acc:8.23e-01
Epoch [14], g:9.16e-02, h:2.73e+01, r:0.00e+00, acc:8.35e-01
Epoch [15], g:5.93e-02, h:1.96e+01, r:0.00e+00, acc:8.41e-01
Epoch [16], g:5.77e-02, h:1.78e+01, r:0.00e+00, acc:8.39e-01
Epoch [17], g:4.66e-02, h:1.54e+01, r:0.00e+00, acc:8.41e-01
Epoch [18], g:3.82e-02, h:1.26e+01, r:0.00e+00, acc:8.29e-01
Epoch [19], g:3.45e-02, h:1.15e+01, r:0.00e+00, acc:8.43e-01
Epoch [20], g:2.47e-02, h:9.71e+00, r:0.00e+00, acc:8.46e-01
Epoch [21], g:1.98e-02, h:8.02e+00, r:0.00e+00, acc:8.42e-01
Epoch [22], g:2.93e-02, h:9.26e+00, r:0.00e+00, acc:8.44e-01
Epoch [23], g:2.57e-02, h:8.99e+00, r:0.00e+00, acc:8.40e-01
Epoch [24], g:1.71e-02, h:7.12e+00, r:0.00e+00, acc:8.51e-01
Epoch [25], g:1.50e-02, h:6.28e+00, r:0.00e+00, acc:8.45e-01
Epoch [26], g:1.03e-02, h:5.31e+00, r:0.00e+00, acc:8.59e-01
Epoch [27], g:1.06e-02, h:4.94e+00, r:0.00e+00, acc:8.29e-01
Epoch [28], g:2.69e-02, h:7.68e+00, r:0.00e+00, acc:8.40e-01
Epoch [29], g:1.05e-02, h:5.40e+00, r:0.00e+00, acc:8.49e-01
Epoch [30], g:6.39e-03, h:4.10e+00, r:0.00e+00, acc:8.53e-01
Epoch [31], g:1.25e-03, h:2.46e+00, r:0.00e+00, acc:8.62e-01
Epoch [32], g:2.95e-04, h:1.93e+00, r:0.00e+00, acc:8.63e-01
Epoch [33], g:5.97e-05, h:1.66e+00, r:0.00e+00, acc:8.65e-01
Epoch [34], g:4.24e-05, h:1.60e+00, r:0.00e+00, acc:8.66e-01
Epoch [35], g:3.46e-05, h:1.55e+00, r:0.00e+00, acc:8.66e-01
Epoch [36], g:2.95e-05, h:1.51e+00, r:0.00e+00, acc:8.66e-01
Epoch [37], g:2.59e-05, h:1.47e+00, r:0.00e+00, acc:8.66e-01
