Epoch [1], g:3.30e-01, h:4.42e+02, r:0.00e+00, acc:2.26e-01
Epoch [2], g:3.24e-01, h:4.16e+02, r:0.00e+00, acc:2.58e-01
Epoch [3], g:3.18e-01, h:3.93e+02, r:0.00e+00, acc:3.15e-01
Epoch [4], g:3.06e-01, h:3.59e+02, r:0.00e+00, acc:3.06e-01
Epoch [5], g:2.98e-01, h:3.42e+02, r:0.00e+00, acc:3.63e-01
Epoch [6], g:2.89e-01, h:3.24e+02, r:0.00e+00, acc:4.06e-01
Epoch [7], g:2.75e-01, h:2.98e+02, r:0.00e+00, acc:4.54e-01
Epoch [8], g:2.64e-01, h:2.79e+02, r:0.00e+00, acc:4.90e-01
Epoch [9], g:2.47e-01, h:2.56e+02, r:0.00e+00, acc:5.14e-01
Epoch [10], g:2.36e-01, h:2.39e+02, r:0.00e+00, acc:4.87e-01
Epoch [11], g:2.17e-01, h:2.19e+02, r:0.00e+00, acc:5.73e-01
Epoch [12], g:2.07e-01, h:2.07e+02, r:0.00e+00, acc:6.15e-01
Epoch [13], g:1.92e-01, h:1.87e+02, r:0.00e+00, acc:6.18e-01
Epoch [14], g:1.81e-01, h:1.75e+02, r:0.00e+00, acc:6.37e-01
Epoch [15], g:1.69e-01, h:1.63e+02, r:0.00e+00, acc:6.64e-01
Epoch [16], g:1.52e-01, h:1.47e+02, r:0.00e+00, acc:6.86e-01
Epoch [17], g:1.40e-01, h:1.33e+02, r:0.00e+00, acc:6.92e-01
Epoch [18], g:1.27e-01, h:1.22e+02, r:0.00e+00, acc:7.09e-01
Epoch [19], g:1.12e-01, h:1.09e+02, r:0.00e+00, acc:6.96e-01
Epoch [20], g:9.85e-02, h:9.70e+01, r:0.00e+00, acc:6.77e-01
Epoch [21], g:8.55e-02, h:8.46e+01, r:0.00e+00, acc:7.05e-01
Epoch [22], g:7.73e-02, h:7.95e+01, r:0.00e+00, acc:7.04e-01
Epoch [23], g:5.96e-02, h:6.58e+01, r:0.00e+00, acc:7.05e-01
Epoch [24], g:5.63e-02, h:6.16e+01, r:0.00e+00, acc:7.04e-01
Epoch [25], g:4.40e-02, h:5.46e+01, r:0.00e+00, acc:7.26e-01
Epoch [26], g:3.71e-02, h:4.90e+01, r:0.00e+00, acc:7.32e-01
Epoch [27], g:3.57e-02, h:4.32e+01, r:0.00e+00, acc:7.05e-01
Epoch [28], g:3.03e-02, h:4.15e+01, r:0.00e+00, acc:7.04e-01
Epoch [29], g:2.12e-02, h:3.63e+01, r:0.00e+00, acc:7.32e-01
Epoch [30], g:2.87e-02, h:3.80e+01, r:0.00e+00, acc:7.43e-01
Epoch [31], g:1.90e-02, h:3.37e+01, r:0.00e+00, acc:7.34e-01
Epoch [32], g:2.22e-02, h:3.40e+01, r:0.00e+00, acc:7.37e-01
Epoch [33], g:1.30e-02, h:2.97e+01, r:0.00e+00, acc:7.30e-01
Epoch [34], g:1.30e-02, h:2.73e+01, r:0.00e+00, acc:7.31e-01
Epoch [35], g:1.99e-02, h:3.09e+01, r:0.00e+00, acc:7.29e-01
Epoch [36], g:1.27e-02, h:2.78e+01, r:0.00e+00, acc:7.29e-01
Epoch [37], g:9.67e-03, h:2.62e+01, r:0.00e+00, acc:7.50e-01
Epoch [38], g:1.23e-03, h:2.02e+01, r:0.00e+00, acc:7.54e-01
Epoch [39], g:2.09e-04, h:1.78e+01, r:0.00e+00, acc:7.57e-01
Epoch [40], g:9.20e-05, h:1.67e+01, r:0.00e+00, acc:7.57e-01
Epoch [41], g:6.57e-05, h:1.61e+01, r:0.00e+00, acc:7.59e-01
Epoch [42], g:5.28e-05, h:1.55e+01, r:0.00e+00, acc:7.59e-01
Epoch [43], g:4.38e-05, h:1.51e+01, r:0.00e+00, acc:7.60e-01
Epoch [44], g:3.73e-05, h:1.47e+01, r:0.00e+00, acc:7.60e-01
Epoch [45], g:3.23e-05, h:1.44e+01, r:0.00e+00, acc:7.60e-01
Epoch [46], g:2.85e-05, h:1.41e+01, r:0.00e+00, acc:7.60e-01
Epoch [47], g:2.54e-05, h:1.38e+01, r:0.00e+00, acc:7.61e-01
Epoch [48], g:2.29e-05, h:1.35e+01, r:0.00e+00, acc:7.61e-01
Epoch [49], g:2.07e-05, h:1.32e+01, r:0.00e+00, acc:7.62e-01
Epoch [50], g:1.89e-05, h:1.30e+01, r:0.00e+00, acc:7.62e-01
Epoch [51], g:1.73e-05, h:1.27e+01, r:0.00e+00, acc:7.61e-01
Epoch [52], g:1.59e-05, h:1.25e+01, r:0.00e+00, acc:7.62e-01
Epoch [53], g:1.48e-05, h:1.23e+01, r:0.00e+00, acc:7.62e-01
Epoch [54], g:1.37e-05, h:1.21e+01, r:0.00e+00, acc:7.62e-01
Epoch [55], g:1.28e-05, h:1.19e+01, r:0.00e+00, acc:7.62e-01
Epoch [56], g:1.20e-05, h:1.17e+01, r:0.00e+00, acc:7.62e-01
Epoch [57], g:1.12e-05, h:1.15e+01, r:0.00e+00, acc:7.62e-01
Epoch [58], g:1.05e-05, h:1.13e+01, r:0.00e+00, acc:7.62e-01
Epoch [59], g:9.91e-06, h:1.12e+01, r:0.00e+00, acc:7.62e-01
Epoch [60], g:9.39e-06, h:1.10e+01, r:0.00e+00, acc:7.62e-01
Epoch [61], g:8.88e-06, h:1.08e+01, r:0.00e+00, acc:7.61e-01
Epoch [62], g:8.42e-06, h:1.06e+01, r:0.00e+00, acc:7.61e-01
Epoch [63], g:8.01e-06, h:1.05e+01, r:0.00e+00, acc:7.62e-01
Epoch [64], g:7.62e-06, h:1.04e+01, r:0.00e+00, acc:7.62e-01
Epoch [65], g:7.25e-06, h:1.02e+01, r:0.00e+00, acc:7.62e-01
Epoch [66], g:6.93e-06, h:1.01e+01, r:0.00e+00, acc:7.62e-01
Epoch [67], g:6.62e-06, h:9.91e+00, r:0.00e+00, acc:7.62e-01
Epoch [68], g:6.31e-06, h:9.77e+00, r:0.00e+00, acc:7.62e-01
Epoch [69], g:6.04e-06, h:9.62e+00, r:0.00e+00, acc:7.62e-01
Epoch [70], g:5.82e-06, h:9.49e+00, r:0.00e+00, acc:7.62e-01
Epoch [71], g:5.55e-06, h:9.36e+00, r:0.00e+00, acc:7.62e-01
Epoch [72], g:5.32e-06, h:9.24e+00, r:0.00e+00, acc:7.62e-01
Epoch [73], g:5.13e-06, h:9.10e+00, r:0.00e+00, acc:7.62e-01
Epoch [74], g:4.93e-06, h:8.97e+00, r:0.00e+00, acc:7.61e-01
