Epoch [1], g:2.29e-01, h:3.66e+02, r:0.00e+00, acc:7.77e-01
Epoch [2], g:1.16e-01, h:1.27e+02, r:0.00e+00, acc:8.06e-01
Epoch [3], g:1.04e-01, h:1.06e+02, r:0.00e+00, acc:7.79e-01
Epoch [4], g:9.39e-02, h:9.55e+01, r:0.00e+00, acc:8.26e-01
Epoch [5], g:8.86e-02, h:8.95e+01, r:0.00e+00, acc:8.28e-01
Epoch [6], g:8.31e-02, h:8.23e+01, r:0.00e+00, acc:8.38e-01
Epoch [7], g:7.91e-02, h:7.71e+01, r:0.00e+00, acc:8.47e-01
Epoch [8], g:7.49e-02, h:7.34e+01, r:0.00e+00, acc:8.08e-01
Epoch [9], g:7.19e-02, h:7.00e+01, r:0.00e+00, acc:8.37e-01
Epoch [10], g:6.86e-02, h:6.59e+01, r:0.00e+00, acc:8.28e-01
Epoch [11], g:6.72e-02, h:6.40e+01, r:0.00e+00, acc:8.44e-01
Epoch [12], g:6.24e-02, h:6.04e+01, r:0.00e+00, acc:8.29e-01
Epoch [13], g:6.20e-02, h:5.83e+01, r:0.00e+00, acc:8.48e-01
Epoch [14], g:5.82e-02, h:5.69e+01, r:0.00e+00, acc:8.39e-01
Epoch [15], g:5.84e-02, h:5.47e+01, r:0.00e+00, acc:8.32e-01
Epoch [16], g:5.35e-02, h:5.26e+01, r:0.00e+00, acc:8.31e-01
Epoch [17], g:5.09e-02, h:4.98e+01, r:0.00e+00, acc:8.49e-01
Epoch [18], g:4.95e-02, h:4.77e+01, r:0.00e+00, acc:8.51e-01
Epoch [19], g:4.53e-02, h:4.52e+01, r:0.00e+00, acc:8.32e-01
Epoch [20], g:4.72e-02, h:4.44e+01, r:0.00e+00, acc:8.33e-01
Epoch [21], g:4.24e-02, h:4.24e+01, r:0.00e+00, acc:8.19e-01
Epoch [22], g:4.34e-02, h:4.11e+01, r:0.00e+00, acc:8.51e-01
Epoch [23], g:3.88e-02, h:3.95e+01, r:0.00e+00, acc:8.51e-01
Epoch [24], g:3.75e-02, h:3.80e+01, r:0.00e+00, acc:8.16e-01
Epoch [25], g:3.84e-02, h:3.69e+01, r:0.00e+00, acc:8.07e-01
Epoch [26], g:3.69e-02, h:3.69e+01, r:0.00e+00, acc:8.45e-01
Epoch [27], g:3.28e-02, h:3.40e+01, r:0.00e+00, acc:8.19e-01
Epoch [28], g:3.16e-02, h:3.23e+01, r:0.00e+00, acc:8.36e-01
Epoch [29], g:3.28e-02, h:3.23e+01, r:0.00e+00, acc:8.50e-01
Epoch [30], g:3.18e-02, h:3.20e+01, r:0.00e+00, acc:8.49e-01
Epoch [31], g:2.92e-02, h:3.11e+01, r:0.00e+00, acc:8.52e-01
Epoch [32], g:2.60e-02, h:2.90e+01, r:0.00e+00, acc:8.38e-01
Epoch [33], g:2.94e-02, h:2.88e+01, r:0.00e+00, acc:8.41e-01
Epoch [34], g:2.64e-02, h:2.79e+01, r:0.00e+00, acc:8.13e-01
