Epoch [1], g:2.80e-01, h:4.56e+02, r:0.00e+00, acc:5.55e-01
Epoch [2], g:1.36e-01, h:1.64e+02, r:0.00e+00, acc:6.78e-01
Epoch [3], g:1.01e-01, h:1.13e+02, r:0.00e+00, acc:7.07e-01
Epoch [4], g:8.02e-02, h:8.79e+01, r:0.00e+00, acc:7.13e-01
Epoch [5], g:6.72e-02, h:7.27e+01, r:0.00e+00, acc:7.55e-01
Epoch [6], g:5.59e-02, h:6.02e+01, r:0.00e+00, acc:7.59e-01
Epoch [7], g:4.64e-02, h:5.09e+01, r:0.00e+00, acc:7.62e-01
Epoch [8], g:4.14e-02, h:4.46e+01, r:0.00e+00, acc:7.81e-01
Epoch [9], g:3.39e-02, h:3.92e+01, r:0.00e+00, acc:7.79e-01
Epoch [10], g:2.99e-02, h:3.42e+01, r:0.00e+00, acc:7.79e-01
Epoch [11], g:2.42e-02, h:3.04e+01, r:0.00e+00, acc:7.88e-01
Epoch [12], g:2.23e-02, h:2.76e+01, r:0.00e+00, acc:7.89e-01
Epoch [13], g:1.75e-02, h:2.42e+01, r:0.00e+00, acc:8.03e-01
Epoch [14], g:1.56e-02, h:2.19e+01, r:0.00e+00, acc:7.98e-01
Epoch [15], g:1.36e-02, h:2.01e+01, r:0.00e+00, acc:8.00e-01
Epoch [16], g:1.40e-02, h:1.88e+01, r:0.00e+00, acc:7.95e-01
Epoch [17], g:1.26e-02, h:1.77e+01, r:0.00e+00, acc:8.12e-01
Epoch [18], g:9.17e-03, h:1.62e+01, r:0.00e+00, acc:7.98e-01
Epoch [19], g:6.03e-03, h:1.50e+01, r:0.00e+00, acc:8.11e-01
Epoch [20], g:4.91e-03, h:1.35e+01, r:0.00e+00, acc:8.02e-01
Epoch [21], g:7.30e-03, h:1.35e+01, r:0.00e+00, acc:8.02e-01
Epoch [22], g:7.20e-03, h:1.33e+01, r:0.00e+00, acc:7.99e-01
Epoch [23], g:6.88e-03, h:1.25e+01, r:0.00e+00, acc:8.01e-01
Epoch [24], g:6.89e-03, h:1.22e+01, r:0.00e+00, acc:7.98e-01
Epoch [25], g:5.21e-03, h:1.14e+01, r:0.00e+00, acc:8.11e-01
Epoch [26], g:5.99e-03, h:1.13e+01, r:0.00e+00, acc:8.12e-01
Epoch [27], g:3.68e-03, h:1.04e+01, r:0.00e+00, acc:8.13e-01
Epoch [28], g:3.99e-03, h:1.02e+01, r:0.00e+00, acc:8.06e-01
Epoch [29], g:4.79e-03, h:1.02e+01, r:0.00e+00, acc:8.09e-01
Epoch [30], g:4.49e-03, h:1.00e+01, r:0.00e+00, acc:8.02e-01
Epoch [31], g:5.35e-03, h:1.03e+01, r:0.00e+00, acc:8.23e-01
Epoch [32], g:3.12e-03, h:9.38e+00, r:0.00e+00, acc:8.16e-01
Epoch [33], g:2.30e-03, h:8.86e+00, r:0.00e+00, acc:8.17e-01
Epoch [34], g:2.31e-03, h:8.79e+00, r:0.00e+00, acc:8.16e-01
Epoch [35], g:1.37e-03, h:8.22e+00, r:0.00e+00, acc:8.15e-01
Epoch [36], g:5.36e-04, h:7.80e+00, r:0.00e+00, acc:8.14e-01
Epoch [37], g:3.19e-04, h:7.49e+00, r:0.00e+00, acc:8.20e-01
Epoch [38], g:3.29e-04, h:7.35e+00, r:0.00e+00, acc:8.23e-01
Epoch [39], g:1.35e-04, h:7.05e+00, r:0.00e+00, acc:8.23e-01
Epoch [40], g:1.17e-04, h:6.88e+00, r:0.00e+00, acc:8.24e-01
Epoch [41], g:1.77e-04, h:7.02e+00, r:0.00e+00, acc:8.21e-01
Epoch [42], g:1.13e-04, h:6.88e+00, r:0.00e+00, acc:8.24e-01
Epoch [43], g:7.92e-05, h:6.77e+00, r:0.00e+00, acc:8.25e-01
Epoch [44], g:7.64e-05, h:6.80e+00, r:0.00e+00, acc:8.23e-01
Epoch [45], g:7.77e-05, h:6.73e+00, r:0.00e+00, acc:8.22e-01
Epoch [46], g:7.20e-05, h:6.61e+00, r:0.00e+00, acc:8.23e-01
Epoch [47], g:7.16e-05, h:6.65e+00, r:0.00e+00, acc:8.25e-01
Epoch [48], g:6.29e-05, h:6.50e+00, r:0.00e+00, acc:8.24e-01
Epoch [49], g:5.51e-05, h:6.48e+00, r:0.00e+00, acc:8.25e-01
Epoch [50], g:4.77e-05, h:6.41e+00, r:0.00e+00, acc:8.25e-01
Epoch [51], g:5.12e-05, h:6.38e+00, r:0.00e+00, acc:8.25e-01
Epoch [52], g:1.32e-04, h:6.29e+00, r:0.00e+00, acc:8.25e-01
Epoch [53], g:6.89e-05, h:6.34e+00, r:0.00e+00, acc:8.26e-01
Epoch [54], g:5.29e-05, h:6.25e+00, r:0.00e+00, acc:8.25e-01
Epoch [55], g:4.85e-05, h:6.15e+00, r:0.00e+00, acc:8.24e-01
Epoch [56], g:4.97e-05, h:6.27e+00, r:0.00e+00, acc:8.25e-01
Epoch [57], g:4.02e-05, h:6.16e+00, r:0.00e+00, acc:8.24e-01
Epoch [58], g:3.79e-05, h:6.17e+00, r:0.00e+00, acc:8.24e-01
Epoch [59], g:3.77e-05, h:6.10e+00, r:0.00e+00, acc:8.25e-01
Epoch [60], g:4.08e-05, h:6.11e+00, r:0.00e+00, acc:8.25e-01
Epoch [61], g:3.76e-05, h:6.06e+00, r:0.00e+00, acc:8.24e-01
Epoch [62], g:3.46e-05, h:6.00e+00, r:0.00e+00, acc:8.24e-01
Epoch [63], g:3.08e-05, h:5.91e+00, r:0.00e+00, acc:8.24e-01
Epoch [64], g:3.13e-05, h:5.91e+00, r:0.00e+00, acc:8.26e-01
Epoch [65], g:3.43e-05, h:5.98e+00, r:0.00e+00, acc:8.25e-01
Epoch [66], g:3.27e-05, h:5.94e+00, r:0.00e+00, acc:8.25e-01
Epoch [67], g:3.61e-05, h:5.96e+00, r:0.00e+00, acc:8.24e-01
Epoch [68], g:2.77e-05, h:5.91e+00, r:0.00e+00, acc:8.25e-01
Epoch [69], g:3.18e-05, h:5.85e+00, r:0.00e+00, acc:8.24e-01
Epoch [70], g:2.92e-05, h:5.89e+00, r:0.00e+00, acc:8.24e-01
Epoch [71], g:2.83e-05, h:5.84e+00, r:0.00e+00, acc:8.25e-01
Epoch [72], g:2.79e-05, h:5.83e+00, r:0.00e+00, acc:8.24e-01
Epoch [73], g:3.16e-05, h:5.81e+00, r:0.00e+00, acc:8.26e-01
Epoch [74], g:3.05e-05, h:5.74e+00, r:0.00e+00, acc:8.25e-01
Epoch [75], g:2.68e-05, h:5.87e+00, r:0.00e+00, acc:8.24e-01
Epoch [76], g:2.39e-05, h:5.73e+00, r:0.00e+00, acc:8.25e-01
Epoch [77], g:2.18e-05, h:5.68e+00, r:0.00e+00, acc:8.24e-01
Epoch [78], g:2.54e-05, h:5.70e+00, r:0.00e+00, acc:8.25e-01
Epoch [79], g:2.40e-05, h:5.59e+00, r:0.00e+00, acc:8.25e-01
Epoch [80], g:2.10e-05, h:5.69e+00, r:0.00e+00, acc:8.24e-01
Epoch [81], g:2.35e-05, h:5.59e+00, r:0.00e+00, acc:8.25e-01
Epoch [82], g:3.06e-05, h:5.60e+00, r:0.00e+00, acc:8.23e-01
Epoch [83], g:2.53e-05, h:5.64e+00, r:0.00e+00, acc:8.25e-01
Epoch [84], g:2.20e-05, h:5.67e+00, r:0.00e+00, acc:8.24e-01
Epoch [85], g:2.34e-05, h:5.70e+00, r:0.00e+00, acc:8.25e-01
Epoch [86], g:2.17e-05, h:5.53e+00, r:0.00e+00, acc:8.25e-01
Epoch [87], g:2.07e-05, h:5.57e+00, r:0.00e+00, acc:8.25e-01
Epoch [88], g:2.48e-05, h:5.54e+00, r:0.00e+00, acc:8.25e-01
Epoch [89], g:3.21e-05, h:5.53e+00, r:0.00e+00, acc:8.25e-01
Epoch [90], g:2.45e-05, h:5.52e+00, r:0.00e+00, acc:8.26e-01
Epoch [91], g:1.82e-05, h:5.46e+00, r:0.00e+00, acc:8.26e-01
Epoch [92], g:2.02e-05, h:5.44e+00, r:0.00e+00, acc:8.26e-01
Epoch [93], g:2.17e-05, h:5.46e+00, r:0.00e+00, acc:8.25e-01
Epoch [94], g:2.76e-05, h:5.46e+00, r:0.00e+00, acc:8.26e-01
Epoch [95], g:3.12e-05, h:5.49e+00, r:0.00e+00, acc:8.24e-01
Epoch [96], g:4.89e-05, h:5.48e+00, r:0.00e+00, acc:8.24e-01
Epoch [97], g:2.10e-05, h:5.41e+00, r:0.00e+00, acc:8.24e-01
Epoch [98], g:2.43e-05, h:5.40e+00, r:0.00e+00, acc:8.24e-01
Epoch [99], g:2.21e-05, h:5.39e+00, r:0.00e+00, acc:8.25e-01
Epoch [100], g:2.48e-05, h:5.38e+00, r:0.00e+00, acc:8.24e-01
