runid: 20200810231852, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8110382, acc_std: 0.041443102, cv_fold: 10
runid: 20200811085442, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.80486727, acc_std: 0.051717293, cv_fold: 10
runid: 20200811090508, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8129188, acc_std: 0.037082832, cv_fold: 10
runid: 20200811091606, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.81812584, acc_std: 0.027424123, cv_fold: 10
runid: 20200811092659, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8235699, acc_std: 0.042567175, cv_fold: 10
runid: 20200821082550, beta: 0.001, model: medium, simp_loss: True, epoch: 100, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8110856, acc_std: 0.030628601, cv_fold: 10
runid: 20200821083155, beta: 0.001, model: medium, simp_loss: True, epoch: 100, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8074352, acc_std: 0.029309563, cv_fold: 10
runid: 20200821083816, beta: 0.001, model: medium, simp_loss: True, epoch: 100, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.7959862, acc_std: 0.031357408, cv_fold: 10
runid: 20200821084420, beta: 0.001, model: medium, simp_loss: True, epoch: 100, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.80662143, acc_std: 0.032494564, cv_fold: 10
runid: 20200821085022, beta: 0.001, model: medium, simp_loss: True, epoch: 100, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.7941451, acc_std: 0.059021838, cv_fold: 10
runid: 20200827161802, beta: 1e-05, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.81822854, acc_std: 0.047733333, cv_fold: 10
runid: 20200827162737, beta: 5e-05, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.81466496, acc_std: 0.034223165, cv_fold: 10
runid: 20200827163743, beta: 0.0001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8074905, acc_std: 0.024615705, cv_fold: 10
runid: 20200827164738, beta: 0.0005, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8128319, acc_std: 0.039096348, cv_fold: 10
runid: 20200827165743, beta: 0.001, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.80481195, acc_std: 0.029956067, cv_fold: 10
runid: 20200827170737, beta: 0.005, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8119944, acc_std: 0.045666385, cv_fold: 10
runid: 20200827171742, beta: 0.01, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.81637174, acc_std: 0.026990348, cv_fold: 10
runid: 20200827172749, beta: 0.05, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.80661345, acc_std: 0.035326466, cv_fold: 10
runid: 20200827173746, beta: 0.1, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8021887, acc_std: 0.032225974, cv_fold: 10
runid: 20200827174752, beta: 0.5, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.78064954, acc_std: 0.043407757, cv_fold: 10
runid: 20200827175804, beta: 1.0, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.7441846, acc_std: 0.031603064, cv_fold: 10
runid: 20200828180935, beta: 0.0, model: medium, simp_loss: True, epoch: 200, use_norm: False, fix_data_seed: False, fix_train_seed: False, acc_avg: 0.8163401, acc_std: 0.032249533, cv_fold: 10
