runid: 20200809233626, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9700001, acc_std: 0.008498377, cv_fold: 5
runid: 20200809234355, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9533334, acc_std: 0.011303873, cv_fold: 5
runid: 20200809235128, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96833336, acc_std: 0.00623609, cv_fold: 5
runid: 20200809235835, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.93166673, acc_std: 0.021984847, cv_fold: 5
runid: 20200810000604, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96500003, acc_std: 0.021984842, cv_fold: 5
runid: 20200810001313, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.95500004, acc_std: 0.017159387, cv_fold: 5
runid: 20200810002019, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9733335, acc_std: 0.008164973, cv_fold: 5
runid: 20200810002737, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9466667, acc_std: 0.022110846, cv_fold: 5
runid: 20200810003455, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96166676, acc_std: 0.018708298, cv_fold: 5
runid: 20200810004205, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.93666667, acc_std: 0.020816669, cv_fold: 5
runid: 20200810004916, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96833336, acc_std: 0.00623609, cv_fold: 5
runid: 20200810005649, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9416667, acc_std: 0.02041241, cv_fold: 5
runid: 20200810010421, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96999997, acc_std: 0.0135400705, cv_fold: 5
runid: 20200810011135, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9300001, acc_std: 0.024494896, cv_fold: 5
runid: 20200810043009, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96500003, acc_std: 0.022607774, cv_fold: 5
runid: 20200810043624, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9416668, acc_std: 0.018257417, cv_fold: 5
runid: 20200810044247, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.96500003, acc_std: 0.014337211, cv_fold: 5
runid: 20200810044917, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.95, acc_std: 0.011785102, cv_fold: 5
runid: 20200810045559, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9666667, acc_std: 0.005270458, cv_fold: 5
runid: 20200810050305, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9616667, acc_std: 0.0066666603, cv_fold: 5
