runid: 20200810051632, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.99109095, acc_std: 0.0025968805, cv_fold: 5
runid: 20200810053017, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.97945464, acc_std: 0.0047966884, cv_fold: 5
runid: 20200810054929, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9914545, acc_std: 0.002672168, cv_fold: 5
runid: 20200810060302, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9823637, acc_std: 0.0027931414, cv_fold: 5
runid: 20200810061833, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9909091, acc_std: 0.0027574066, cv_fold: 5
runid: 20200810063240, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.98218185, acc_std: 0.0035721571, cv_fold: 5
runid: 20200810065021, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.99127275, acc_std: 0.0037964713, cv_fold: 5
runid: 20200810070359, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.98036367, acc_std: 0.0047966884, cv_fold: 5
runid: 20200810071756, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9901818, acc_std: 0.0027212028, cv_fold: 5
runid: 20200810073148, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.98090917, acc_std: 0.0034015034, cv_fold: 5
runid: 20200810075115, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9901818, acc_std: 0.0031701052, cv_fold: 5
