runid: 20200809182321, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.55862224, acc_std: 0.029623935, cv_fold: 5
runid: 20200809183446, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5889367, acc_std: 0.024486138, cv_fold: 5
runid: 20200809184317, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5269543, acc_std: 0.019575033, cv_fold: 5
runid: 20200809185148, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5842229, acc_std: 0.03893038, cv_fold: 5
runid: 20200809190033, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5687369, acc_std: 0.016248519, cv_fold: 5
runid: 20200809190932, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5889503, acc_std: 0.014070378, cv_fold: 5
runid: 20200809191810, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.53572434, acc_std: 0.036533084, cv_fold: 5
runid: 20200809192653, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5835404, acc_std: 0.03809051, cv_fold: 5
runid: 20200809193546, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5458345, acc_std: 0.016895281, cv_fold: 5
runid: 20200809194443, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.58087176, acc_std: 0.03062914, cv_fold: 5
runid: 20200809195324, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.559332, acc_std: 0.029480916, cv_fold: 5
runid: 20200809200202, beta: 0.001, model: linear, simp_loss: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5895987, acc_std: 0.02192724, cv_fold: 5
