beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.1, acc_avg: 0.96928567, acc_std: 0.023250164, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.2, acc_avg: 0.96658736, acc_std: 0.027201377, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.3, acc_avg: 0.95809525, acc_std: 0.031096118, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.4, acc_avg: 0.96920633, acc_std: 0.031953286, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.5, acc_avg: 0.96658725, acc_std: 0.024199052, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.6, acc_avg: 0.97769845, acc_std: 0.020809539, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.7, acc_avg: 0.9691269, acc_std: 0.019858558, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.1, acc_avg: 0.96920633, acc_std: 0.026353024, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.2, acc_avg: 0.9720634, acc_std: 0.027940108, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.3, acc_avg: 0.97206354, acc_std: 0.017571067, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.4, acc_avg: 0.97206354, acc_std: 0.021518903, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.5, acc_avg: 0.9636508, acc_std: 0.030639023, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.6, acc_avg: 0.9748413, acc_std: 0.023095235, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.7, acc_avg: 0.9719841, acc_std: 0.02794067, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.1, acc_avg: 0.9664286, acc_std: 0.032493282, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.2, acc_avg: 0.9720634, acc_std: 0.025026556, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.3, acc_avg: 0.9693651, acc_std: 0.023065614, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.4, acc_avg: 0.9581747, acc_std: 0.030987049, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.5, acc_avg: 0.96920633, acc_std: 0.023241358, cv_fold: 10
