beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.1, acc_avg: 0.8625668, acc_std: 0.05686217, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.2, acc_avg: 0.86577547, acc_std: 0.05295977, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.3, acc_avg: 0.8686274, acc_std: 0.08132543, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.4, acc_avg: 0.8688057, acc_std: 0.06741386, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.5, acc_avg: 0.8606061, acc_std: 0.0971563, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.6, acc_avg: 0.8663101, acc_std: 0.049875848, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.7, acc_avg: 0.8457219, acc_std: 0.061945785, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.1, acc_avg: 0.8716577, acc_std: 0.04688938, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.2, acc_avg: 0.859804, acc_std: 0.06065199, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.3, acc_avg: 0.8454546, acc_std: 0.04713304, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.4, acc_avg: 0.8717469, acc_std: 0.06872743, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.5, acc_avg: 0.8509804, acc_std: 0.052431576, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.6, acc_avg: 0.84563285, acc_std: 0.0751774, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.7, acc_avg: 0.859893, acc_std: 0.05865286, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.1, acc_avg: 0.8575758, acc_std: 0.05823287, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.2, acc_avg: 0.8573084, acc_std: 0.038758162, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.3, acc_avg: 0.8690731, acc_std: 0.03814877, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.4, acc_avg: 0.86042774, acc_std: 0.04573019, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.5, acc_avg: 0.8595365, acc_std: 0.055178188, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.6, acc_avg: 0.87237084, acc_std: 0.03900609, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.7, acc_avg: 0.8594475, acc_std: 0.058334053, cv_fold: 10
