beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.1, acc_avg: 0.96773595, acc_std: 0.005129736, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.2, acc_avg: 0.96741104, acc_std: 0.005939751, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.3, acc_avg: 0.97042435, acc_std: 0.005047882, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.4, acc_avg: 0.9702083, acc_std: 0.0041690944, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.5, acc_avg: 0.97053194, acc_std: 0.0048583453, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.6, acc_avg: 0.9674128, acc_std: 0.0067492123, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.7, acc_avg: 0.968058, acc_std: 0.003785874, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.1, acc_avg: 0.9684879, acc_std: 0.008548686, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.2, acc_avg: 0.9705308, acc_std: 0.0060517234, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.3, acc_avg: 0.97031623, acc_std: 0.005095581, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.4, acc_avg: 0.9688099, acc_std: 0.0069558383, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.5, acc_avg: 0.96816427, acc_std: 0.006425092, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.6, acc_avg: 0.9664448, acc_std: 0.0034911006, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.7, acc_avg: 0.96268094, acc_std: 0.008599928, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.1, acc_avg: 0.9697782, acc_std: 0.008861453, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.2, acc_avg: 0.9685953, acc_std: 0.005109167, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.3, acc_avg: 0.9693486, acc_std: 0.004463733, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.4, acc_avg: 0.96870345, acc_std: 0.007502781, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.5, acc_avg: 0.9674119, acc_std: 0.007863859, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.6, acc_avg: 0.96784127, acc_std: 0.0053093834, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.7, acc_avg: 0.9620336, acc_std: 0.007550634, cv_fold: 10
