beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.1, acc_avg: 0.82035017, acc_std: 0.04007223, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.2, acc_avg: 0.84296924, acc_std: 0.04356673, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.3, acc_avg: 0.8263866, acc_std: 0.046984404, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.4, acc_avg: 0.8263446, acc_std: 0.027791956, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.5, acc_avg: 0.83450985, acc_std: 0.026931154, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.6, acc_avg: 0.83455193, acc_std: 0.04674863, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 1, p: 0.7, acc_avg: 0.8084874, acc_std: 0.03675884, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.1, acc_avg: 0.8203081, acc_std: 0.03130808, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.2, acc_avg: 0.8250561, acc_std: 0.032464754, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.3, acc_avg: 0.8321289, acc_std: 0.046006475, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.4, acc_avg: 0.8237255, acc_std: 0.04641453, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.5, acc_avg: 0.83570033, acc_std: 0.044596765, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.6, acc_avg: 0.82502806, acc_std: 0.044374418, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 2, p: 0.7, acc_avg: 0.8085014, acc_std: 0.048088517, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.1, acc_avg: 0.8356023, acc_std: 0.026241045, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.2, acc_avg: 0.82514, acc_std: 0.053206664, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.3, acc_avg: 0.82152665, acc_std: 0.049011562, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.4, acc_avg: 0.80729693, acc_std: 0.028687114, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.5, acc_avg: 0.82042015, acc_std: 0.043077957, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.6, acc_avg: 0.7906443, acc_std: 0.05191326, cv_fold: 10
beta: 0.1, model: medium, simp_loss: True, epoch: 50, use_norm: True, fix_data_seed: False, fix_train_seed: False, r: 3, p: 0.7, acc_avg: 0.78609246, acc_std: 0.04230379, cv_fold: 10
